"","log2FoldChange","padj","Factor"
"ko:K10956",0.865785304172096,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11087",-0.252953852056409,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K11088",-0.181843809160694,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K11099",0.816337343959643,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11130",0.624150735817517,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11188",0.0176112712608827,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K11251",0.729624411882949,0.833203074173645,"Menthol_Menthol_vs_Control"
"ko:K11252",-0.294783047438294,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11254",0.0889771818977326,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K11495",-0.59823907740413,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11584",0.257074944723989,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K11827",-1.82737132428195,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K11884",-0.501264347933073,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K11980",-0.622758761257852,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K12158",0.0435398420467792,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K12165",-0.955974760026057,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12194",-0.1710264755461,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K12197",-0.0926721290306245,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K12198",-1.70929839420738,0.653672435576478,"Menthol_Menthol_vs_Control"
"ko:K12393",0.411035469799923,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12398",1.04439683848716,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12581",-0.533414478174067,0.969691354624562,"Menthol_Menthol_vs_Control"
"ko:K12620",-1.38785121637942,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K12621",0.494423983445934,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12622",-0.315982092035459,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K12623",0.272847966929815,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K12670",-0.507859148034245,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K12757",-0.170684601543475,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12828",-0.0714955471226598,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12832",-0.124989385417795,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K12833",-0.696686472084627,0.967087376158991,"Menthol_Menthol_vs_Control"
